Date,Close
5/11/2020,310.33
5/12/2020,304.84
5/13/2020,302.14
5/14/2020,299.74
5/15/2020,299.21
5/18/2020,302.76
5/19/2020,304.63
5/20/2020,304.91
5/21/2020,301.97
5/22/2020,302.43
5/26/2020,304.8
5/27/2020,306.01
5/28/2020,309.56
5/29/2020,308.47
6/1/2020,308.29
6/2/2020,307.09
6/3/2020,306.64
6/4/2020,310.75
6/5/2020,312.04
6/8/2020,307.19
6/9/2020,305.55
6/10/2020,307.33
6/11/2020,300.83
6/12/2020,298.7
6/15/2020,297.18
6/16/2020,301.36
6/17/2020,299.61
6/18/2020,299.57
6/19/2020,299.9
6/22/2020,300.45
6/23/2020,301.29
6/24/2020,298.02
6/25/2020,300.53
6/26/2020,296.56
6/29/2020,301.59
6/30/2020,303.21
7/1/2020,304.75
7/2/2020,305.74
7/6/2020,311.49
7/7/2020,316.23
7/8/2020,316.32
7/9/2020,325.54
7/10/2020,326.23
7/13/2020,322.92
7/14/2020,328
7/15/2020,326.7
7/16/2020,326.27
7/17/2020,324.79
7/20/2020,326.51
7/21/2020,327.74
7/22/2020,328.3
7/23/2020,326.11
7/24/2020,325.78
7/27/2020,327.6
7/28/2020,327.57
7/29/2020,326.14
7/30/2020,324.82
7/31/2020,325.53
8/3/2020,329.32
8/4/2020,339.79
8/5/2020,339.97
8/6/2020,343.31
8/7/2020,340.91
8/10/2020,340
8/11/2020,332.43
8/12/2020,336.76
8/13/2020,335.7
8/14/2020,336.28
8/17/2020,339.96
8/18/2020,340.75
8/19/2020,340.9
8/20/2020,340.87
8/21/2020,344.61
8/24/2020,344.13
8/25/2020,344.71
8/26/2020,344.27
8/27/2020,346.36
8/28/2020,348.37
8/31/2020,347.66
9/1/2020,351.38
9/2/2020,358.86
9/3/2020,348.3
9/4/2020,346.57
9/8/2020,338.86
9/9/2020,346.43
9/10/2020,339.53
9/11/2020,339.13
9/14/2020,342.92
9/15/2020,343.91
9/16/2020,343.73
9/17/2020,338.88
9/18/2020,335.96
9/21/2020,339.57
9/22/2020,344.45
9/23/2020,344.63
9/24/2020,347
9/25/2020,342.58
9/28/2020,349.62
9/29/2020,352.14
9/30/2020,355
10/1/2020,358.46
10/2/2020,355.01
10/5/2020,358.58
10/6/2020,358.35
10/7/2020,363.02
10/8/2020,365.09
10/9/2020,369.46
10/12/2020,376.48
10/13/2020,380.68
10/14/2020,378.34
10/15/2020,376.58
10/16/2020,381.54
10/19/2020,375.56
10/20/2020,378.31
10/21/2020,377.82
10/22/2020,375.75
10/23/2020,374.6
10/26/2020,370.71
10/27/2020,372.72
10/28/2020,364.96
10/29/2020,364.86
10/30/2020,357.62
11/2/2020,364.39
11/3/2020,371.96
11/4/2020,376.17
11/5/2020,385.23
11/6/2020,385.66
11/9/2020,365
11/10/2020,366.62
11/11/2020,372.92
11/12/2020,375.71
11/13/2020,378.84
11/16/2020,379.79
11/17/2020,381.92
11/18/2020,382.23
11/19/2020,383.54
11/20/2020,381.12
11/23/2020,381.71
11/24/2020,384.22
11/25/2020,387.75
11/27/2020,388.39
11/30/2020,391.77
12/1/2020,387.56
12/2/2020,383.5
12/3/2020,374.05
12/4/2020,373.43
12/7/2020,373.33
12/8/2020,377.6
12/9/2020,374.29
12/10/2020,372.79
12/11/2020,375.1
12/14/2020,374.38
12/15/2020,371.88
12/16/2020,369.44
12/17/2020,370.29
12/18/2020,367
12/21/2020,364.97
12/22/2020,362.03
12/23/2020,361.89
12/24/2020,364.58
12/28/2020,371.06
12/29/2020,372.72
12/30/2020,374.45
12/31/2020,376.78
1/4/2021,380.15
1/5/2021,375.74
1/6/2021,370.02
1/7/2021,367.92
1/8/2021,369.94
1/11/2021,364.01
1/12/2021,364.2
1/13/2021,366.95
1/14/2021,362.35
1/15/2021,362.16
1/19/2021,354.47
1/20/2021,361.3
1/21/2021,362.8
1/22/2021,362.3
1/25/2021,361.88
1/26/2021,364.98
1/27/2021,356.39
1/28/2021,357.06
1/29/2021,352.43
2/1/2021,350.52
2/2/2021,355.58
2/3/2021,355.21
2/4/2021,355.85
2/5/2021,355.17
2/8/2021,359.83
2/9/2021,359.56
2/10/2021,356.12
2/11/2021,352.2
2/12/2021,352.75
2/16/2021,354
2/17/2021,358.04
2/18/2021,356.92
2/19/2021,354.77
2/22/2021,350.21
2/23/2021,342.15
2/24/2021,340.7
2/25/2021,333.9
2/26/2021,331
3/1/2021,331.77
3/2/2021,328.46
3/3/2021,323.92
3/4/2021,319.04
3/5/2021,317.32
3/8/2021,311.42
3/9/2021,318.78
3/10/2021,323.83
3/11/2021,328.65
3/12/2021,331.14
3/15/2021,330.51
3/16/2021,327.25
3/17/2021,329.19
3/18/2021,322.98
3/19/2021,328.91
3/22/2021,334.49
3/23/2021,340.34
3/24/2021,338.04
3/25/2021,346.34
3/26/2021,352.02
3/29/2021,356.15
3/30/2021,349.75
3/31/2021,352.48
4/1/2021,354.94
4/5/2021,360.82
4/6/2021,360.12
4/7/2021,358.81
4/8/2021,361.22
4/9/2021,363.21
4/12/2021,364.81
4/13/2021,365.21
4/14/2021,363.17
4/15/2021,368.8
4/16/2021,370.72
4/19/2021,369.55
4/20/2021,371.73
4/21/2021,374.09
4/22/2021,371.26
4/23/2021,373.28
4/26/2021,368.52
4/27/2021,370.21
4/28/2021,369.59
4/29/2021,373.54
4/30/2021,372.09
5/3/2021,379.32
5/4/2021,375.29
5/5/2021,372.5
5/6/2021,382.76
5/7/2021,384.32
5/10/2021,381.48
